pin,slack
blinker[26]:Q,14378
blinker[26]:SD,
blinker[26]:SLn,
blinker[2]:ADn,
blinker[2]:ALn,
blinker[2]:CLK,13995
blinker[2]:D,17395
blinker[2]:EN,
blinker[2]:LAT,
blinker[2]:Q,13995
blinker[2]:SD,
blinker[2]:SLn,
un2_blinker_cry_19:A,
un2_blinker_cry_19:B,17308
un2_blinker_cry_19:C,
un2_blinker_cry_19:D,
un2_blinker_cry_19:FCI,16939
un2_blinker_cry_19:FCO,16939
un2_blinker_cry_19:S,17072
main.un9_blinker_13:A,15475
main.un9_blinker_13:B,15384
main.un9_blinker_13:C,15329
main.un9_blinker_13:Y,15329
blinker[22]:ADn,
blinker[22]:ALn,
blinker[22]:CLK,14278
blinker[22]:D,17015
blinker[22]:EN,
blinker[22]:LAT,
blinker[22]:Q,14278
blinker[22]:SD,
blinker[22]:SLn,14576
CLK_50M,
LED1_GREEN,
DEVRST_N,
